"idClinic";"clinicName";"address";"villageCode";"phoneNumber";"longitude";"latitude";"link";"firstlyAttendedBy";"socioeconomicLevel";"sizeLevel"
187;ASSIR 8 DE MARÇ;MOSSEN JAUME SOLER, 8;"0908073";;0;0;;5;2;3
188;C.S. LA PAZ;AVDA DEL PARQUE DE ASTURIAS S/N;"1228123";;0;0;;2;2;1
189;C.S. LA PLATA;AVDA DE LA UNIÓN EUROPEA, 4;"1228148";;0;0;;2;2;2
190;C.S. LA PRINCESA;CALLE DE SEVERO OCHOA, 4;"1228092";;0;0;;3;2;2
191;C.S. LA RIVOTA;CALLE DE LAS PALMERAS S/N;"1228007";;0;0;;3;2;2
192;C.S. La Solana;VIENA 1;"0745165";;0;0;;3;0;0
193;C.S. LA VENTILLA;AVDA DE ASTURIAS, 61;"1228079";;0;0;;4;2;2
194;C.S. LAGASCA;CALLE DE LAGASCA, 122;"1228079";;0;0;;4;1;3
195;CAP CAN MORITZ (MOSSEN JAUME SOLER);C/ DE MOSSEN ANDREU 13 (CANTONADA C/ DR. FERRAN);"0908073";;0;0;;5;2;2
196;C.S. LAS ÁGUILAS;CALLE DE JOSÉ DE CADALSO, 51;"1228079";;0;0;;3;2;1
197;C.S. LAS AMÉRICAS;AVDA DE AMÉRICA, 6;"1228106";;0;0;;3;2;2
198;C.S. LAS CALESAS;CALLE DE LAS CALESAS, 12;"1228079";;0;0;;2;3;1
199;C.S. LAS CIUDADES;CALLE PALESTINA S/N;"1228065";;0;0;;3;2;2
200;C.S. LAS CORTES;CRA DE SAN JERÓNIMO, 32;"1228079";;0;0;;2;2;1
201;C.S. LAS MARGARITAS;CALLE MAGALLANES, 6;"1228065";;0;0;;3;2;1
202;CAP CORNELLÁ 2 (SANT IDELFONS);AVDA. REPÚBLICA ARGENTINA S/N (CANTONADA DE SANT ILDEFONS);"0908073";;0;0;;5;3;1
203;C.S. LAS OLIVAS;PASEO DEL DELEITE, 30;"1228013";;0;0;;3;2;2
204;CAP DR. MARTI I JULIA;AV. BAIX LLOBREGAT, 17;"0908073";;0;0;;5;2;3
205;C.S. LAS VEREDILLAS;CALLE TURÍN, 37;"1228148";;0;0;;2;2;2
206;C.S. LAVAPIÉS;CALLE DE EMBAJADORES, 41;"1228079";;0;0;;2;3;2
207;C.S. LEGANÉS NORTE;AVDA DE CARMEN MARTÍN GAITE, 57;"1228074";;0;0;;3;2;3
208;C.S. LEGAZPI;CALLE DE LA ANTRACITA, 2;"1228079";;0;0;;2;1;2
209;C.S. LINNEO;CALLE DE LINNEO, 3;"1228079";;0;0;;2;1;3
210;C.S. LONDRES;CALLE DE LONDRES, 55;"1228079";;0;0;;4;1;3
211;C.S. LOS ALPERCHINES;CALLE CÓRDOBA, 4;"1228130";;0;0;;2;2;2
212;C.S. LOS ALPES;CALLE DE SUECIA, 62;"1228079";;0;0;;4;1;1
213;C.S. LOS ÁNGELES;CALLE DE TOTANES, 1;"1703014";;0;0;;2;2;1
214;C.S. LOS CÁRMENES;VÍA CARPETANA, 202;"1228079";;0;0;;3;2;2
215;C.S. LOS CASTILLOS;CALLE DE CARBALLINO, 25;"1228007";;0;0;;3;2;1
216;C.S. LOS FRESNOS;CALLE ZEUS S/N;"1228148";;0;0;;2;1;3
217;C.S. LOS PINTORES;CALLE CUENCA S/N;"1228106";;0;0;;3;2;2
218;C.S. LOS ROSALES;CALLE DEL DIAMANTE, 12;"1228079";;0;0;;3;2;1
219;C.S. LOS YÉBENES;CALLE DE LOS YÉBENES, 46;"1228079";;0;0;;4;2;1
220;C.S. LUCERO;CALLE DE LA LATINA, 14;"1228079";;0;0;;4;2;1
221;C.S. LUIS VIVES;CALLE LUIS VIVES, 16;"1228005";;0;0;;2;2;2
222;CAP CORNELLÁ DE LLOBREGAT ( LA GAVARRA);C/ BELLATERRA 41;"0908073";;0;0;;5;3;2
223;C.S. MANANTIALES;JULIÁN BESTEIRO 44;"0719130";;0;0;;2;1;2
224;C.S. MANISES;C/ DR. PESET ALEIXANDRE, S/N;"1746159";;0;0;;6;2;2
225;C.S. MANUEL MERINO;CALLE MANUEL MERINO, 1;"1228005";;0;0;;2;2;3
226;C.S. MANZANARES EL REAL;CALLE DE LA CAÑADA DE TOROS, 8;"1228082";;0;0;;7;0;0
227;C.S. MAQUEDA;CALLE DE SESEÑA, 44;"1228079";;0;0;;3;2;1
228;C.S. MAR BÁLTICO;CALLE DEL MAR BÁLTICO, 2;"1228079";;0;0;;4;2;1
229;C.S. MARÍA ÁNGELES LÓPEZ GÓMEZ;CALLE MARÍA ÁNGELES LÓPEZ GÓMEZ, 2;"1228074";;0;0;;3;2;1
230;C.S. MARÍA AUXILIADORA;CALLE DE MARÍA AUXILIADORA, 3;"1228079";;0;0;;4;1;3
231;C.S. MARÍA DE GUZMÁN;CALLE JUAN DE BORGOÑA, 1;"1228005";;0;0;;2;2;2
232;C.S. MARÍA JESÚS HEREZA;CALLE JESÚS MIGUEL HADDAD BLANCO, 2;"1228074";;0;0;;3;2;1
233;C.S. MARÍA MONTESSORI;AVDA DE PORTUGAL, 2;"1228074";;0;0;;3;2;2
234;C.S. MARIE CURIE;CALLE SAN BERNARDO, 13;"1228074";;0;0;;3;2;3
235;C.S. MARQUÉS DE LA VALDAVIA;PASEO DE LA CHOPERA, 100;"1228006";;0;0;;4;1;2
236;C.S. MARTÍN DE VARGAS;CALLE DE MARTÍN DE VARGAS, 15;"1228079";;0;0;;2;1;2
237;C.S. MARTÍNEZ DE LA RIVA;CALLE DE MARTÍNEZ DE LA RIVA, 57;"1228079";;0;0;;3;3;2
238;C.S. MASSAMAGRELL;C/ MIGUEL SERVET, 48;"1746164";;0;0;;6;2;2
239;C.S. MECO;CMNO DE LA VIRGEN DE LA CABEZA, 6;"1228083";;0;0;;2;1;2
240;C.S. MEJORADA DEL CAMPO;CALLE DE LA CIUDAD DE PARÍS, 22;"1228084";;0;0;;2;1;2
241;C.S. MELIANA;C/EDUARDO ROMERO, 1;"1746166";;0;0;;6;2;3
242;C.S. MIGUEL DE CERVANTES;AVDA GUSTAVO ADOLFO BÉCQUER, 23;"1228005";;0;0;;2;1;2
243;C.S. MIGUEL SERVET;CALLE DE DON BENITO, 2;"1228007";;0;0;;3;2;2
244;C.S. EL MOLAR;CALLE DE SAN ISIDRO S/N;"1228086";;0;0;;4;2;3
245;C.S. MIRAFLORES;AVDA DE ESPAÑA, 50;"1228006";;0;0;;4;2;2
246;C.S. MIRASIERRA;CALLE DEL MIRADOR DE LA REINA, 117;"1228079";;0;0;;4;1;2
247;C.S. MISLATA;AV. BUENOS AIRES, 2;"1746169";;0;0;;6;2;2
248;C.S. MONÓVAR;CALLE DE MONÓVAR, 11;"1228079";;0;0;;2;2;2
249;CAP 17 DE SETEMBRE (SANT COSME I SANT DAMIA);C/ D'EMPURIES 1-3;"0908169";;0;0;;5;2;1
250;C.S. MONTESA;CALLE DE MONTESA, 38;"1228079";;0;0;;2;1;2
251;C.S. MORALZARZAL;CALLE SUR;"1228090";;0;0;;4;1;3
252;C.S. MUSEROS;AV. PAIS VALENCIÀ, S/N;"1746177";;0;0;;6;2;3
253;C.S. NAVALCARNERO;CALLE DE LA DOCTORA, 10;"1228096";;0;0;;3;2;1
254;C.S. NAVAS DEL REY;AVDA DE MADRID, 62;"1228099";;0;0;;7;0;0
255;CAP DR. PUJOL I CAPSADA;PLAZA DEL'AIGUA 3;"0908169";;0;0;;5;3;3
256;CAP RAMONA VÍA;AVDA. VERGE DE MONTSERRAT 24;"0908169";;0;0;;5;2;1
257;C.S. NUESTRA SEÑORA DE FÁTIMA;AVDA DE NUESTRA SEÑORA DE FÁTIMA, 93;"1228079";;0;0;;4;2;1
258;C.S. NUESTRA SEÑORA DEL PILAR;CALLE NUESTRA SEÑORA DEL PILAR, 42;"1228005";;0;0;;2;3;2
259;C.S. NUMANCIA;CALLE DEL PUERTO DE COTOS, 2;"1228079";;0;0;;2;2;1
